paperId,title,abstract,year,publicationDate,authorId,authorName
7ad45285b98b20661ab23d5a43dfe8783fafc02c,Impact of Text Length for Information Retrieval Tasks based on Probabilistic Topics,"This work is supported by the project KnowledgeSpaces with reference PID2020-118274RB-I00, financed by the Spanish Ministry of Science and Innovation.",2021,2021-09-06,"2134990618,2134990341,70053552","Carlos Badenes-Olmedo,Borja Lozano-Álvarez,Óscar Corcho"
7f085d4e71c713d9db7a3d32c302e1fe58129733,A High-Level Ontology Network for ICT Infrastructures,,2021,,"70053552,1404333852,2056266963,2107052011,1413809069,2115270260,2140198525,2130220243,2059607208,2134108404","Óscar Corcho,David Chaves-Fraga,Jhon Toledo,Julián Arenas-Guerrero,Carlos Badenes-Olmedo,Mingxue Wang,Hu Peng,Nicholas Burrett,José Mora,Puchao Zhang"
80313ba1f12e4525b941ba29f8e020cf5ae8b835,"An Overview of Drugs, Diseases, Genes and Proteins in the CORD-19 Corpus","Several initiatives have emerged during the COVID-19 pandemic to gather scientific publications related to coronaviruses. Among them, the COVID-19 Open Research Dataset (CORD-19) has proven to be a valuable resource that provides full-text articles from the PubMed Central, bioRxiv and medRxiv repositories. Such a large amount of biomedical literature needs to be properly managed to facilitate and promote its use by health professionals, for example by tagging documents with the biomedical entities that appear on them. We created a biomedical named entity recognizer (NER) that normalizes (NEN) the drugs, diseases, genes and proteins mentioned in texts with the codes of the main standardization systems such as MeSH, ICD-10, ATC, SNOMED, ChEBI, GARD and NCBI. It is based on fine-tuning the BioBERT language model independently for each entity type using domain-specific datasets and an inverse index search to normalize the references. We have used the resultant BioNER+BioNEN system to process the CORD-19 corpus and offer an overview of the drugs, diseases, genes and proteins related to coronaviruses in the last fifty years.",2022,,"2134990618,2072861538,70053552","Carlos Badenes-Olmedo,Álvaro Alonso,Óscar Corcho"
87b1e3c5f485efc52c8cdcf20fa0b63346e6d181,A Semantic Sensor Web for Environmental Decision Support Applications,"Sensing devices are increasingly being deployed to monitor the physical world around us. One class of application for which sensor data is pertinent is environmental decision support systems, e.g., flood emergency response. For these applications, the sensor readings need to be put in context by integrating them with other sources of data about the surrounding environment. Traditional systems for predicting and detecting floods rely on methods that need significant human resources. In this paper we describe a semantic sensor web architecture for integrating multiple heterogeneous datasets, including live and historic sensor data, databases, and map layers. The architecture provides mechanisms for discovering datasets, defining integrated views over them, continuously receiving data in real-time, and visualising on screen and interacting with the data. Our approach makes extensive use of web service standards for querying and accessing data, and semantic technologies to discover and integrate datasets. We demonstrate the use of our semantic sensor web architecture in the context of a flood response planning web application that uses data from sensor networks monitoring the sea-state around the coast of England.",2011,2011-09-14,"34071005,144030350,144121902,1792820,1943226,1795889,49193745,1398854351,34879237,2445257,144779687,1716510,70053552,1746733,1708123,144685851,1398348796","A. Gray,J. Sadler,O. Kit,K. Kyzirakos,M. Karpathiotakis,Jean-Paul Calbimonte,Kevin R. Page,R. García-Castro,A. Frazer,I. Galpin,A. Fernandes,N. Paton,Óscar Corcho,Manolis Koubarakis,D. D. Roure,K. Martinez,A. Gómez-Pérez"
99719940773bce8b802491cf1f2a11339e13c4d2,Scalable Cross-lingual Document Similarity through Language-specific Concept Hierarchies,"With the ongoing growth in number of digital articles in a wider set of languages and the expanding use of different languages, we need annotation methods that enable browsing multi-lingual corpora. Multilingual probabilistic topic models have recently emerged as a group of semi-supervised machine learning models that can be used to perform thematic explorations on collections of texts in multiple languages. However, these approaches require theme-aligned training data to create a language-independent space. This constraint limits the amount of scenarios that this technique can offer solutions to train and makes it difficult to scale up to situations where a huge collection of multi-lingual documents are required during the training phase. This paper presents an unsupervised document similarity algorithm that does not require parallel or comparable corpora, or any other type of translation resource. The algorithm annotates topics automatically created from documents in a single language with cross-lingual labels and describes documents by hierarchies of multi-lingual concepts from independently-trained models. Experiments performed on the English, Spanish and French editions of JCR-Acquis corpora reveal promising results on classifying and sorting documents by similar content.",2019,2019-09-23,"1413809069,1787607,70053552","Carlos Badenes-Olmedo,José Luis Redondo García,Óscar Corcho"
a91064924edc6398c1aa266948bf1f515261fc6f,TheyBuyForYou platform and knowledge graph: Expanding horizons in public procurement with open linked data,"Public procurement is a large market affecting almost every organisation and individual; therefore, governments need to ensure its efficiency, transparency, and accountability, while creating healthy, competitive, and vibrant economies. In this context, open data initiatives and integration of data from multiple sources across national borders could transform the procurement market by such as lowering the barriers of entry for smaller suppliers and encouraging healthier competition, in particular by enabling cross-border bids. Increasingly more open data is published in the public sector; however, these are created and maintained in siloes and are not straightforward to reuse or maintain because of technical heterogeneity, lack of quality, insufficient metadata, or missing links to related domains. To this end, we developed an open linked data platform, called TheyBuyForYou, consisting of a set of modular APIs and ontologies to publish, curate, integrate, analyse, and visualise an EU-wide, cross-border, and cross-lingual procurement knowledge graph. We developed advanced tools and services on top of the knowledge graph for anomaly detection, cross-lingual document search, and data storytelling. This article describes the TheyBuyForYou platform and knowledge graph, reports their adoption by different stakeholders and challenges and experiences we went through while creating them, and demonstrates the usefulness of Semantic Web and Linked Data technologies for enhancing public procurement.",2021,2021-09-03,"153750193,70053552,3170752,2134990618,2191156,2135341749,101029936,2007932882,52208399,31951006,2927032,143759957,66215591","A. Soylu,Óscar Corcho,B. Elvesæter,Carlos Badenes-Olmedo,Tom Blount,Francisco Yedro Martínez,Matej Kovacic,Matej Posinkovic,Ian Makgill,C. Taggart,E. Simperl,T. C. Lech,D. Roman"
a98c96d461b767ff3d87afc4bcb0c520484d281e,Enabling Query Technologies for the Semantic Sensor Web,"Sensor networks are increasingly being deployed in the environment for many different purposes. The observations that they produce are made available with heterogeneous schemas, vocabularies and data formats, making it difficult to share and reuse this data, for other purposes than those for which they were originally set up. The authors propose an ontology-based approach for providing data access and query capabilities to streaming data sources, allowing users to express their needs at a conceptual level, independent of implementation and language-specific details. In this article, the authors describe the theoretical foundations and technologies that enable exposing semantically enriched sensor metadata, and querying sensor observations through SPARQL extensions, using query rewriting and data translation techniques according to mapping languages, and managing both pull and push delivery modes.",2012,,"1795889,34436207,70053552,1751802","Jean-Paul Calbimonte,Hoyoung Jeung,Óscar Corcho,K. Aberer"
bedfb656e33029932a94e0b4ca40b6b5dd47af26,Potentially inappropriate medications in older adults living with HIV.,"OBJECTIVES
We assessed the prevalence of potentially inappropriate medication (PIM) among older (≥ 65 years) people living with HIV (O-PLWH) in the region of Madrid.


METHODS
We analysed the dispensation registry of community and hospital pharmacies from the Madrid Regional Health Service (SERMAS) for the period between 1 January and 30 June 2017, looking specifically at PIMs according to the 2019 Beers criteria. Co-medications were classified according to the Anatomical Therapeutic Chemical (ATC) classification system.


RESULTS
A total of 6 636 451 individuals received medications. Of these individuals, 22 945 received antiretrovirals (ARVs), and of these 1292 were O-PLWH. Overall, 1135 (87.8%) O-PLWH were taking at least one co-medication, and polypharmacy (at least five co-medications) was observed in 852 individuals (65.9%). A PIM was identified in 482 (37.3%) O-PLWH. Factors independently associated with PIM were polypharmacy [adjusted odds ratio (aOR) 7.08; 95% confidence interval (CI) 5.16-9.72] and female sex (aOR 1.75; 95% CI 1.30-2.35). The distribution of PIMs according to ATC drug class were nervous system drugs (n = 369; 28.6%), musculoskeletal system drugs (n = 140; 10.8%), gastrointestinal and metabolism drugs (n = 72; 5.6%), cardiovascular drugs (n = 61; 4.7%), respiratory system drugs (n = 13; 1.0%), antineoplastic and immunomodulating drugs (n = 10; 0.8%), and systemic anti-infectives (n = 2; 0.2%). Five drugs accounted for 84.8% of the 482O PLWH with PIMs: lorazepam (38.2%), ibuprofen (18.0%), diazepam (10.2%), metoclopramide (9.9%), and zolpidem (8.5%).


CONCLUSIONS
Prescription of PIMs is highly prevalent in O-PLWH. Consistent with data in uninfected elderly people, the most frequently observed PIMs were benzodiazepines and nonsteroidal anti-inflammatory drugs . Targeted interventions are warranted to reduce inappropriate prescribing and polypharmacy in this vulnerable population.",2020,2020-06-09,"1413811042,1413809069,1742274491,4627386,1401579579,1963241010,46822107,145564965,4532955,1417618813,144489853","B. López-Centeno,Carlos Badenes-Olmedo,Á. Mataix-Sanjuan,J. Bellón,L. Pérez-Latorre,J. C. López,J. Benedí,S. Khoo,C. Marzolini,M. J. Calvo-Alcántara,J. Berenguer"
befeaee41925b4ece2b198b5419f50274e37a629,Five challenges for the Semantic Sensor Web,"The combination of sensor networks with the Web, web services and database technologies, was named some years ago as the Sensor Web or the Sensor Internet. Most efforts in this area focused on the provision of platforms that could be used to build sensor-based applications more efficiently, considering some of the most important challenges in sensor-based data management and sensor network configuration. The introduction of semantics into these platforms provides the opportunity of going a step forward into the understanding, management and use of sensor-based data sources, and this is a topic being explored by ongoing initiatives. In this paper we go through some of the most relevant challenges of the current Sensor Web, and describe some ongoing work and open opportunities for the introduction of semantics in this context.",2010,2010-04-01,"70053552,1398854351","Óscar Corcho,R. García-Castro"
c5cb8b18702817fe20387d3c0be82e292577b976,EBOCA: Evidences for BiOmedical Concepts Association Ontology,". There is a large number of online documents data sources available nowadays. The lack of structure and the diﬀerences between formats are the main diﬃculties to automatically extract information from them, which also has a negative impact on its use and reuse. In the biomedical domain, the DISNET platform emerged to provide re-searchers with a resource to obtain information in the scope of human disease networks by means of large-scale heterogeneous sources. Specif-ically in this domain, it is critical to oﬀer not only the information extracted from diﬀerent sources, but also the evidence that supports it. This paper proposes EBOCA, an ontology that describes (i) biomedical domain concepts and associations between them, and (ii) evidences supporting these associations; with the objective of providing an schema to improve the publication and description of evidences and biomedical associations in this domain. The ontology has been successfully evaluated to ensure there are no errors, modelling pitfalls and that it meets the previously deﬁned functional requirements. Test data coming from a subset of DISNET and automatic association extractions from texts has been transformed according to the proposed ontology to create a Knowledge Graph that can be used in real scenarios, and which has also been used for the evaluation of the presented ontology.",2022,2022-08-01,"2180133273,1485497099,2180025176,2065739771,1413809069,2180027960","Andrea 'Alvarez P'erez,Ana Iglesias-Molina,Luc'ia Prieto Santamar'ia,Mar'ia Poveda-Villal'on,Carlos Badenes-Olmedo,Alejandro Rodr'iguez-Gonz'alez"
c5f0195d35bb1b56fbbbdfff50de250955e929fe,Formalisation and experiences of R2RML-based SPARQL to SQL query translation using morph,"R2RML is used to specify transformations of data available in relational databases into materialised or virtual RDF datasets. SPARQL queries evaluated against virtual datasets are translated into SQL queries according to the R2RML mappings, so that they can be evaluated over the underlying relational database engines. In this paper we describe an extension of a well-known algorithm for SPARQL to SQL translation, originally formalised for RDBMS-backed triple stores, that takes into account R2RML mappings. We present the result of our implementation using queries from a synthetic benchmark and from three real use cases, and show that SPARQL queries can be in general evaluated as fast as the SQL queries that would have been generated by SQL experts if no R2RML mappings had been used.",2014,2014-04-07,"2787942,70053552,1703204","Freddy Priyatna,Óscar Corcho,Juan Sequeda"
c79d2d38ef2ab8e7170792171a0e3b7ffb9aa886,Transforming meteorological data into Linked Data,"We describe the AEMET meteorological dataset, which makes available some data sources from the Agencia Estatal de Meteorologia AEMET, Spanish Meteorological Office as Linked Data. The data selected for publication are generated every ten minutes by approximately 250 automatic weather stations deployed across Spain and made available as CSV files in the AEMET FTP server. These files are retrieved from the server, processed with Python scripts, transformed to RDF according to an ontology network which reuses the W3C SSN Ontology, published in a triple store and visualized using Map4RDF.",2012,2012-07-01,"1750062,70053552,1398926410,2059607208,1403446235,2096825607,1403849795,1398348791","G. Atemezing,Óscar Corcho,D. Garijo,José Mora,M. Poveda-Villalón,Pablo Rozas,Daniel Vila-Suero,B. Villazón-Terrazas"
d2685ecfb612493b44b6eaecb5533e8da7b4b7c3,Lessons learned to enable question answering on knowledge graphs extracted from scientific publications: A case study on the coronavirus literature,,2023,2023-05-01,"2134990618,70053552","Carlos Badenes-Olmedo,Óscar Corcho"
f6547db9118871c0fa9e503375afebaa27983d86,Handling qualitative preferences in SPARQL over virtual ontology-based data access,"With the increase of data volume in heterogeneous datasets that are being published following Open Data initiatives, new operators are necessary to help users to find the subset of data that best satisfies their preference criteria. Quantitative approaches such as top-k queries may not be the most appropriate approaches as they require the user to assign weights that may not be known beforehand to a scoring function. Unlike the quantitative approach, under the qualitative approach, which includes the well-known skyline, preference criteria are more intuitive in certain cases and can be expressed more naturally. In this paper, we address the problem of evaluating SPARQL qualitative preference queries over an Ontology-Based Data Access (OBDA) approach, which provides uniform access over multiple and heterogeneous data sources. Our main contribution is Morph-Skyline++, a framework for processing SPARQL qualitative preferences by directly querying relational databases. Our framework implements a technique that translates SPARQL qualitative preference queries directly into queries that can be evaluated by a relational database management system. We evaluate our approach over different scenarios, reporting the effects of data distribution, data size, and query complexity on the performance of our proposed technique in comparison with state-of-the-art techniques. Obtained results suggest that the execution time can be reduced by up to two orders of magnitude in comparison to current techniques scaling up to larger datasets while identifying precisely the result set.",2022,2022-01-13,"145182016,1404333852,70053552","Marlene Goncalves,David Chaves-Fraga,Óscar Corcho"
